"firebase_id","role","sport","status","tested_skill","version","question_en","question_fr","question_es","question_it","answer_1_emoji","answer_1_score","answer_1_order","answer_1_text_en","answer_1_text_fr","answer_1_text_es","answer_1_text_it","answer_2_emoji","answer_2_score","answer_2_order","answer_2_text_en","answer_2_text_fr","answer_2_text_es","answer_2_text_it","answer_3_emoji","answer_3_score","answer_3_order","answer_3_text_en","answer_3_text_fr","answer_3_text_es","answer_3_text_it","answer_4_emoji","answer_4_score","answer_4_order","answer_4_text_en","answer_4_text_fr","answer_4_text_es","answer_4_text_it","answer_5_emoji","answer_5_score","answer_5_order","answer_5_text_en","answer_5_text_fr","answer_5_text_es","answer_5_text_it","answer_6_emoji","answer_6_score","answer_6_order","answer_6_text_en","answer_6_text_fr","answer_6_text_es","answer_6_text_it"
"04JjksdpY7eCmFMDVVNs","defender","soccer","published","meta",1,"When you talk about your level, you're more like...","Quand tu parles de ton niveau, tu plutôt…","Cuando hablas de tu nivel, eres más bien...","Quando parli del tuo livello, sei piuttosto...","😩",2,1,"I clearly overestimate myself","Je me surestime clairement","Claramente me sobrevaloro","Mi sopravvaluto chiaramente","😵‍💫",4,2,"I brag a little","Je me vante un peu","Presumo un poco","Mi vanto un po'","😅",6,3,"I often see the bright side","Je vois souvent le bon côté","Veo a menudo el lado bueno","Vedo spesso il lato positivo","💪",8,4,"I try to be honest","J’essaie d’être honnête","Intento ser honesto","Cerco di essere onesto","🦾",10,5,"I'm quite objective","Je suis plutôt objectif","Soy bastante objetivo","Sono piuttosto obiettivo","😎",12,6,"I'm super clear-headed (even about my flaws)","Je suis super lucide (même sur mes défauts)","Soy súper lúcido (incluso sobre mis defectos)","Sono super lucido (anche sui miei difetti)"
"08rQDDdLjUnoPrXH3f8B","midfielder","soccer","published","meta",1,"Le plus important pour toi, c'est de…","Le plus important pour toi, c'est de…","Lo más importante para ti es...","La cosa più importante per te è…","😩",2,1,"Laugh, not take myself seriously","Rigoler, ne pas me prendre au sérieux","Reír, no tomarme en serio","Ridere, non prendermi sul serio","😵‍💫",4,2,"Me défouler un peu","Me défouler un peu","Desahogarme un poco","Sfamarmi un po'","😅",6,3,"Passer un bon moment entre potes","Passer un bon moment entre potes","Pasar un buen rato entre amigos","Passare un buon momento tra amici","💪",8,4,"Être utile à l’équipe","Être utile à l’équipe","Ser útil para el equipo","Essere utile alla squadra","🦾",10,5,"Gagner si possible","Gagner si possible","Ganar si es posible","Vincere se possibile","😎",12,6,"Gagner, peu importe comment","Gagner, peu importe comment","Ganar, sin importar cómo","Vincere, a qualunque costo"
"1cPSgGA7PlVLjmDJ1d68","defender","soccer","published","physicality",1,"At the end of the game, the opposing team launches a counterattack...","En fin de match, une contre-attaque adverse se déclenche…","Al final del partido, el equipo contrario lanza un contraataque...","Alla fine della partita, la squadra avversaria parte con un contropiede...","😩",2,1,"I can't run anymore","Je n’arrive plus à courir","Ya no puedo correr","Non riesco più a correre","😵‍💫",4,2,"I stay behind the play","Je reste derrière l’action","Me quedo detrás de la acción","Resto dietro l'azione","😅",6,3,"I jog back","Je reviens au trot","Regreso al trote","Torno indietro al trotto","💪",8,4,"I come back slowly but surely","Je reviens lentement mais sûrement","Regreso lento pero seguro","Torno indietro lentamente ma sicuramente","🦾",10,5,"I'm in the duel despite the fatigue","Je suis au duel malgré la fatigue","Estoy en el duelo a pesar del cansancio","Sono al duello nonostante la fatica","😎",12,6,"I sprint and intercept the play","Je sprinte et intercepte l’action","Sprinto e intercepto la acción","Scatto e intercetto l'azione"
"1sB87SZOKuuN94xZzjrU","defender","soccer","published","defence",1,"A forward tries to get past you one-on-one...","Un attaquant tente de te passer en un contre un…","Un delantero intenta pasarte en un uno contra uno...","Un attaccante cerca di superarti in un uno contro uno...","😩",2,1,"I get passed without reacting","Je me fais passer sans réagir","Me pasa sin que reaccione","Mi supera senza reagire","😵‍💫",4,2,"I tackle too late and commit a foul","Je tacle trop tard et je fais faute","Entré tarde y cometí falta","Tacklo troppo tardi e faccio fallo","😅",6,3,"I slow him down a bit but he gets through","Je le freine un peu mais il passe","Lo freno un poco pero pasa","Lo freno un po' ma passa","💪",8,4,"I stay on my feet and block him well","Je reste debout et je le gêne bien","Me mantengo de pie y lo incomodo bien","Rimango in piedi e lo ostacolo bene","🦾",10,5,"I prevent him from shooting","Je l’empêche de frapper","Le impido disparar","Gli impedisco di tirare","😎",12,6,"I recover cleanly without fouling","Je récupère proprement sans faute","Recupero limpiamente sin falta","Recupero pulito senza fallo"
"4Q5d2VU8gDk1IPIu5mOO","goalkeeper","soccer","published","shot-stopping",1,"A huge shot is taken from a distance...","Une énorme frappe est tirée de loin…","Un disparo enorme se lanza desde lejos...","Un tiro enorme viene scagliato da lontano...","😩",2,1,"I don't have time to move","Je n’ai pas le temps de bouger","No tengo tiempo de moverme","Non ho il tempo di muovermi","😵‍💫",4,2,"I dive too late","Je plonge trop tard","Me lanzo demasiado tarde","Mi tuffo troppo tardi","😅",6,3,"I barely touch it without stopping it","Je la frôle sans l’arrêter","La rozo sin detenerla","La sfioro senza fermarla","💪",8,4,"I deflect it with my fingertips","Je la dévie du bout des doigts","La desvío con la punta de los dedos","La devio con la punta delle dita","🦾",10,5,"I push it away well","Je la repousse bien","La rechazo bien","La respingo bene","😎",12,6,"I catch it without a bounce","Je la capte sans rebond","La atrapo sin que rebote","La prendo senza rimbalzo"
"4QLyC8avxekKKPl0naIC","goalkeeper","soccer","published","reflexes",1,"The forward shoots from close range...","L’attaquant frappe à bout portant…","El delantero dispara desde cerca...","L'attaccante tira da distanza ravvicinata...","😩",2,1,"I stay in place","Je reste sur place","Me quedo en el sitio","Rimango fermo","😵‍💫",4,2,"I react too late","Je réagis trop tard","Reacciono demasiado tarde","Reagisco troppo tardi","😅",6,3,"I raise my arm too slowly","Je lève le bras trop lentement","Levanto el brazo demasiado lento","Alzo il braccio troppo lentamente","💪",8,4,"I dive at the last moment","Je me jette au dernier moment","Me lanzo en el último momento","Mi lancio all'ultimo momento","🦾",10,5,"I just manage to deflect it with my foot","Je dévie du pied de justesse","La desvío con el pie por poco","La devio col piede per un pelo","😎",12,6,"I stop it without thinking","Je l’arrête sans réfléchir","La detengo sin pensar","La fermo senza pensarci"
"5DDWqfinLIgWDqHVOPD8","defender","soccer","published","meta",1,"In your team, you're more like...","Dans ton équipe, tu es plutôt…","En tu equipo, eres más bien...","Nella tua squadra, sei piuttosto...","😩",2,1,"The one picked last","Celui qu’on prend en dernier","El que eligen de último","Quello che si sceglie per ultimo","😵‍💫",4,2,"Often struggling","Souvent en galère","A menudo en apuros","Spesso in difficoltà","😅",6,3,"Decent, nothing more","Correct sans plus","Correcto sin más","Corretto senza più","💪",8,4,"Pretty reliable","Plutôt fiable","Bastante confiable","Piuttosto affidabile","🦾",10,5,"One of the good ones","L’un des bons","Uno de los buenos","Uno dei buoni","😎",12,6,"One of the best","L’un des meilleurs","Uno de los mejores","Uno dei migliori"
"5HRQhE08ugG3YjiBMTpV","forward","soccer","published","meta",1,"Regarding concentration, on the field, you're...","Niveau concentration, sur le terrain, tu es…","En cuanto a concentración, en el campo, eres...","Livello di concentrazione, in campo, sei...","😩",2,1,"Always elsewhere","Toujours ailleurs","Siempre en otro lado","Sempre altrove","😵‍💫",4,2,"I often drift off","Je décroche souvent","Me desconcentro a menudo","Mi distraggo spesso","😅",6,3,"It depends on the moments","Ça dépend des moments","Depende del momento","Dipende dai momenti","💪",8,4,"Rather focused","Plutôt concentré","Más bien concentrado","Piuttosto concentrato","🦾",10,5,"Focused almost the whole game","Focus quasi tout le match","Casi todo el partido enfocado","Quasi tutto il match concentrato","😎",12,6,"Nothing distracts me","Rien ne me déconcentre","Nada me desconcentra","Niente mi distrae"
"5kv39mGjFYS28lwle3P5","forward","soccer","published","meta",1,"When you talk about your level, you're more like...","Quand tu parles de ton niveau, tu plutôt…","Cuando hablas de tu nivel, eres más bien...","Quando parli del tuo livello, sei piuttosto...","😩",2,1,"I clearly overestimate myself","Je me surestime clairement","Claramente me sobrevaloro","Mi sopravvaluto chiaramente","😵‍💫",4,2,"I brag a little","Je me vante un peu","Presumo un poco","Mi vanto un po'","😅",6,3,"I often see the bright side","Je vois souvent le bon côté","Veo a menudo el lado bueno","Vedo spesso il lato positivo","💪",8,4,"I try to be honest","J’essaie d’être honnête","Intento ser honesto","Cerco di essere onesto","🦾",10,5,"I'm quite objective","Je suis plutôt objectif","Soy bastante objetivo","Sono piuttosto obiettivo","😎",12,6,"I'm super clear-headed (even about my flaws)","Je suis super lucide (même sur mes défauts)","Soy súper lúcido (incluso sobre mis defectos)","Sono super lucido (anche sui miei difetti)"
"5n66imvKSSBc5dusW6px","forward","soccer","published","passing",1,"You pull off a one-two in the attacking zone...","Tu fais un une-deux en zone offensive…","Haces un uno-dos en la zona de ataque...","Fai un uno-due in zona d'attacco...","😩",2,1,"I'm slow to pass","Je tarde à passer","Tardo en pasar","Ritardo a passare","😵‍💫",4,2,"I miss the support pass","Je rate la passe en appui","Fallo el pase de apoyo","Sbaglio il passaggio di appoggio","😅",6,3,"I combine but too slowly","Je combine mais trop lentement","Combino pero muy lento","Combino ma troppo lentamente","💪",8,4,"I pass and move off timidly","Je la donne et je repars timide","La doy y arranco tímido","La do e riparto timido","🦾",10,5,"I play quickly and get back into position","Je joue vite et je suis relancé","Juego rápido y me relanzo","Gioco veloce e sono rilanciato","😎",12,6,"I make a clear and quick combination","Je fais une combinaison nette et rapide","Hago una combinación clara y rápida","Faccio una combinazione netta e rapida"
"5rOMubDARyjEYK9vfsbZ","forward","soccer","published","defence",1,"You lose a high ball, the opponent launches a counter...","Tu perds un ballon haut, l’adversaire relance…","Pierdes un balón alto, el rival lanza un contraataque...","Perdi un pallone alto, l'avversario lancia un contropiede...","😩",2,1,"I stay complaining","Je reste à me plaindre","Me quedo quejándome","Resto a lamentarmi","😵‍💫",4,2,"I pretend to press","Je fais semblant de presser","Finjo presionar","Fingo di pressare","😅",6,3,"I press without conviction","Je presse sans y croire","Presiono sin creerlo","Pressare senza crederci","💪",8,4,"I disrupt the counterattack","Je gêne la relance","Dificulto la relanza","Metto in difficoltà la ripartenza","🦾",10,5,"I force an error","Je pousse à la faute","Provoco el error","Spingo all'errore","😎",12,6,"I recover or push the opponent back","Je récupère ou fais reculer l’adversaire","Recupero o hago retroceder al adversario","Recupero o faccio arretrare l'avversario"
"5x8562JrAMS409LQPFFu","forward","soccer","published","meta",1,"Do you play soccer often?","Tu joues souvent au foot ?","¿Juegas seguido al fútbol?","Giochi spesso a calcio?","😩",2,1,"Very rarely, almost never","Très rarement, presque jamais","Muy raramente, casi nunca","Molto raramente, quasi mai","😵‍💫",4,2,"Once every 2-3 months","Une fois tous les 2-3 mois","Una vez cada 2-3 meses","Una volta ogni 2-3 mesi","😅",6,3,"About once a month","Environ une fois par mois","Aproximadamente una vez al mes","Circa una volta al mese","💪",8,4,"About twice a month","Environ 2 fois par mois","Aproximadamente 2 veces al mes","Circa 2 volte al mese","🦾",10,5,"Almost every week","Presque toutes les semaines","Casi todas las semanas","Quasi tutte le settimane","😎",12,6,"Every week, or more","Toutes les semaines, voire plus","Todas las semanas, incluso más","Tutte le settimane, se non di più"
"7WxaUvwGFhASOXOcvCP1","midfielder","soccer","published","pace",1,"Your winger's making a deep run, you want to back them up...","Ton ailier part dans la profondeur, tu veux le soutenir…","Tu extremo se va en una carrera profunda, quieres apoyarlo...","Il tuo esterno sta facendo una corsa profonda, vuoi sostenerlo...","😩",2,1,"I don't even start","Je ne pars même pas","Ni siquiera salgo","Non parto nemmeno","😵‍💫",4,2,"I start too late","Je pars trop tard","Salgo tarde","Parto troppo tardi","😅",6,3,"I follow but drop off quickly","Je suis mais je décroche vite","Lo sigo pero me descuelgo rápido","Seguo ma mi stacco subito","💪",8,4,"I support but I'm late","Je suis en soutien mais en retard","Estoy en apoyo pero tarde","Sono in supporto ma in ritardo","🦾",10,5,"I'm available at the edge of the box","Je suis disponible à l’entrée de la surface","Estoy disponible en la entrada del área","Sono disponibile all'ingresso dell'area","😎",12,6,"I overtake and offer an option","Je le dépasse et je propose une solution","Lo supero y propongo una solución","Lo supero e propongo una soluzione"
"7pedAENKPthub901yXbA","midfielder","soccer","published","meta",1,"Le plus important pour toi, c'est de…","Le plus important pour toi, c'est de…","Lo más importante para ti es...","La cosa più importante per te è…","😩",2,1,"Laugh, not take myself seriously","Rigoler, ne pas me prendre au sérieux","Reír, no tomarme en serio","Ridere, non prendermi sul serio","😵‍💫",4,2,"Me défouler un peu","Me défouler un peu","Desahogarme un poco","Sfamarmi un po'","😅",6,3,"Passer un bon moment entre potes","Passer un bon moment entre potes","Pasar un buen rato entre amigos","Passare un buon momento tra amici","💪",8,4,"Être utile à l’équipe","Être utile à l’équipe","Ser útil para el equipo","Essere utile alla squadra","🦾",10,5,"Gagner si possible","Gagner si possible","Ganar si es posible","Vincere se possibile","😎",12,6,"Gagner, peu importe comment","Gagner, peu importe comment","Ganar, sin importar cómo","Vincere, a qualunque costo"
"7vikih4mNuwB63LWnIIE","forward","soccer","published","meta",1,"Le plus important pour toi, c'est de…","Le plus important pour toi, c'est de…","Lo más importante para ti es...","La cosa più importante per te è…","😩",2,1,"Laugh, not take myself seriously","Rigoler, ne pas me prendre au sérieux","Reír, no tomarme en serio","Ridere, non prendermi sul serio","😵‍💫",4,2,"Me défouler un peu","Me défouler un peu","Desahogarme un poco","Sfamarmi un po'","😅",6,3,"Passer un bon moment entre potes","Passer un bon moment entre potes","Pasar un buen rato entre amigos","Passare un buon momento tra amici","💪",8,4,"Être utile à l’équipe","Être utile à l’équipe","Ser útil para el equipo","Essere utile alla squadra","🦾",10,5,"Gagner si possible","Gagner si possible","Ganar si es posible","Vincere se possibile","😎",12,6,"Gagner, peu importe comment","Gagner, peu importe comment","Ganar, sin importar cómo","Vincere, a qualunque costo"
"8N4XbiwNERCdMXnzzoUZ","defender","soccer","published","defence",1,"A player dribbles into your zone...","Un joueur entre dans ta zone en conduite de balle…","Un jugador entra en tu zona manejando el balón...","Un giocatore entra nella tua zona palla al piede...","😩",2,1,"I leave too much space","Je laisse trop d’espace","Dejo demasiado espacio","Lascio troppo spazio","😵‍💫",4,2,"I back off without intervening","Je recule sans intervenir","Retrocedo sin intervenir","Arretro senza intervenire","😅",6,3,"I slow him down but he gets through","Je le ralentis mais il passe","Lo ralentizo pero pasa","Lo rallento ma passa","💪",8,4,"I push him to play on the side","Je le pousse à jouer sur le côté","Lo empujo a jugar por el lado","Lo costringo a giocare sul lato","🦾",10,5,"I block the shooting angle","Je bloque l’angle de frappe","Bloqueo el ángulo de tiro","Blocco l'angolo di tiro","😎",12,6,"I cut off his run cleanly","Je coupe sa course proprement","Corto su carrera limpiamente","Interrompo la sua corsa pulito"
"9fvoC7JS1fuh7cA74Xn0","defender","soccer","published","shooting",1,"The ball's hanging around at the edge of the opponent's box...","Le ballon traîne à l’entrée de la surface adverse…","El balón anda rondando el borde del área rival...","La palla è lì al limite dell'area avversaria...","😩",2,1,"I completely miss my shot","Je rate complètement ma frappe","Fallo completamente mi tiro","Sbaglio completamente il tiro","😵‍💫",4,2,"I rush it and shoot over the bar","Je tape au-dessus dans la précipitation","Le pego por encima en la precipitación","Tiro sopra nella fretta","😅",6,3,"I shoot without control and it's weak","Je tire sans contrôle et c’est mou","Tiro sin control y es flojo","Tiro senza controllo ed è debole","💪",8,4,"I hit it well but it's saved","Je la prends bien mais elle est arrêtée","Le pego bien pero es detenida","La prendo bene ma viene fermata","🦾",10,5,"I aim well but it's blocked","Je vise bien mais c’est contré","Apunto bien pero es bloqueada","Miro bene ma viene deviata","😎",12,6,"I strike hard and it's a goal","Je frappe fort et ça fait but","Le pego fuerte y es gol","Tiro forte ed è gol"
