"firebase_id","role","sport","status","tested_skill","version","question_en","question_fr","question_es","question_it","answer_1_emoji","answer_1_score","answer_1_order","answer_1_text_en","answer_1_text_fr","answer_1_text_es","answer_1_text_it","answer_2_emoji","answer_2_score","answer_2_order","answer_2_text_en","answer_2_text_fr","answer_2_text_es","answer_2_text_it","answer_3_emoji","answer_3_score","answer_3_order","answer_3_text_en","answer_3_text_fr","answer_3_text_es","answer_3_text_it","answer_4_emoji","answer_4_score","answer_4_order","answer_4_text_en","answer_4_text_fr","answer_4_text_es","answer_4_text_it","answer_5_emoji","answer_5_score","answer_5_order","answer_5_text_en","answer_5_text_fr","answer_5_text_es","answer_5_text_it","answer_6_emoji","answer_6_score","answer_6_order","answer_6_text_en","answer_6_text_fr","answer_6_text_es","answer_6_text_it"
"0jXsECv4aPxoiwWiZVFT","midfielder","soccer","published","dribbling",1,"An opponent's waiting for you in a 1v1 in midfield...","Un adversaire t’attend en 1v1 au milieu de terrain…","Un rival te espera en un 1v1 en el centro del campo...","Un avversario ti aspetta in un 1v1 a centrocampo...","😩",0,1,"I get passed easily","Je me fais passer facilement","Me pasan fácilmente","Mi faccio passare facilmente","😵‍💫",2,2,"I attempt a dribble and lose the ball","Je tente un dribble et je perds le ballon","Intento un regate y pierdo el balón","Provo un dribbling e perdo il pallone","😅",4,3,"I hold up play without making progress","Je bloque le jeu sans vraiment avancer","Bloqueo la jugada sin avanzar","Blocco l'azione senza avanzare","💪",6,4,"I take him on and barely beat him","Je le fixe et je l’élimine de justesse","Lo encaro y apenas lo supero","Lo affronto e lo supero per un pelo","🦾",8,5,"I take him on and move forward","Je l’élimine et je progresse","Lo elimino y progreso","Lo elimino e proseguo","😎",10,6,"I dribble past him and start an attack","Je le dribble puis je lance l’attaque","Lo regateo y luego inicio una jugada","Lo dribblo e poi avvio l’azione"
"0nKIxanmJh8eGN00eoMU","midfielder","soccer","published","shooting",1,"You get a back pass right in front of the box...","Tu reçois une passe en retrait juste devant la surface…","Te llega un pase atrás justo frente al área...","Ricevi un passaggio indietro proprio davanti all'area...","😩",0,1,"I completely miss the ball","Je loupe complètement le ballon","Fallo completamente el balón","Manco completamente la palla","😵‍💫",2,2,"I hit it first time and it goes wide","Je frappe de volée et ça sort","Disparo de primeras y se va fuera","Tiro al volo e va fuori","😅",4,3,"I shoot but it's too weak","Je tire mais c’est trop mou","Tiro pero es muy suave","Tiro ma è troppo debole","💪",6,4,"I get it on target but it's harmless","Je cadre mais ce n’est pas dangereux","Tiro a puerta pero sin peligro","Tiro in porta ma senza pericolo","🦾",8,5,"I hit it hard and the goalkeeper parries it","Je frappe fort, le gardien repousse","Disparo fuerte y el portero la repele","Tiro forte, il portiere respinge","😎",10,6,"I score with a well-placed shot","Je marque avec une frappe placée","Marco con un tiro colocado","Segno con un tiro piazzato"
"1KDOuPiqElMKkExgshvS","midfielder","soccer","published","passing",1,"A teammate gets open between the lines...","Un coéquipier se démarque entre les lignes…","Un compañero se desmarca entre líneas...","Un compagno si smarca tra le linee...","😩",0,1,"I don't see him","Je ne le vois pas","No lo veo","Non lo vedo","😵‍💫",2,2,"I see him too late","Je le vois trop tard","Lo veo demasiado tarde","Lo vedo troppo tardi","😅",4,3,"I attempt a risky pass","Je tente une passe approximative","Intento un pase aproximado","Provo un passaggio approssimativo","💪",6,4,"I find him at his feet","Je le trouve dans les pieds","Lo encuentro en los pies","Lo trovo nei piedi","🦾",8,5,"I break the line with a great pass","Je casse la ligne avec une belle passe","Rompo la línea con un buen pase","Rompo la linea con un bel passaggio","😎",10,6,"I send him perfectly into space","Je le lance parfaitement dans l’espace","Lo lanzo perfectamente al espacio","Lo lancio perfettamente nello spazio"
"22kdpZzK5X91LBHq1ZRc","defender","soccer","published","meta",1,"When you talk about your level, you're more like...","Quand tu parles de ton niveau, tu plutôt…","Cuando hablas de tu nivel, eres más bien...","Quando parli del tuo livello, sei piuttosto...","😩",0,1,"I clearly overestimate myself","Je me surestime clairement","Claramente me sobrevaloro","Mi sopravvaluto chiaramente","😵‍💫",2,2,"I brag a little","Je me vante un peu","Presumo un poco","Mi vanto un po'","😅",4,3,"I often see the bright side","Je vois souvent le bon côté","Veo a menudo el lado bueno","Vedo spesso il lato positivo","💪",6,4,"I try to be honest","J’essaie d’être honnête","Intento ser honesto","Cerco di essere onesto","🦾",8,5,"I'm quite objective","Je suis plutôt objectif","Soy bastante objetivo","Sono piuttosto obiettivo","😎",10,6,"I'm super clear-headed (even about my flaws)","Je suis super lucide (même sur mes défauts)","Soy súper lúcido (incluso sobre mis defectos)","Sono super lucido (anche sui miei difetti)"
"3N7iimv1E5smkMbeiVXT","goalkeeper","soccer","published","shot-stopping",1,"When a powerful, low-driven shot is taken...","Quand une frappe puissante, à ras de terre, est tirée…","Cuando se lanza un tiro potente y rasante...","Quando viene tirato un tiro potente e rasoterra...","😩",0,1,"I'm on my heels, I don't move","Je suis sur les talons, je bouge pas","Estoy sobre los talones, no me muevo","Sono sui talloni, non mi muovo","😵‍💫",2,2,"I go down too slowly","Je me couche trop lentement","Me acuesto demasiado lento","Mi tuffo troppo lentamente","😅",4,3,"I stick out my foot but deflect it poorly","Je tends la jambe mais la dévie mal","Estiro el pie pero la desvío mal","Allungo il piede ma la devio male","💪",6,4,"I slow it down without really stopping it","Je la freine sans vraiment l’arrêter","La freno sin realmente detenerla","La freno senza davvero fermarla","🦾",8,5,"I go down well and push it away","Je me couche bien et je la repousse","Me acuesto bien y la rechazo","Mi tuffo bene e la respingo","😎",10,6,"I block the shot on the ground without a bounce","Je bloque la frappe au sol sans rebond","Bloqueo el disparo al suelo sin rebote","Blocco il tiro a terra senza rimbalzo"
"4HmmTv1Hzb3yMy18Y5R4","forward","soccer","published","pace",1,"You're making a deep run on a fast break...","Tu pars en profondeur sur un appel lancé…","Estás haciendo una carrera en profundidad en un contraataque rápido...","Stai partendo in profondità su un contropiede veloce...","😩",0,1,"I start too late","Je pars trop tard","Salgo tarde","Parto troppo tardi","😵‍💫",2,2,"I start but get caught","Je pars mais je me fais rattraper","Salgo pero me alcanzan","Parto ma vengo ripreso","😅",4,3,"I get ahead but receive a poor pass","Je prends de l’avance mais je suis mal servi","Tomo ventaja pero me pasan mal el balón","Prendo vantaggio ma sono servito male","💪",6,4,"I'm well set up but slow down","Je suis bien lancé mais je ralentis","Estoy bien lanzado pero disminuyo la velocidad","Sono ben lanciato ma rallento","🦾",8,5,"I take the space and get the ball","Je prends l’espace et je suis servi","Tomo el espacio y me pasan el balón","Prendo lo spazio e sono servito","😎",10,6,"I'm already ahead and head for the goal","Je suis déjà devant et je pars au but","Ya estoy adelante y me dirijo al gol","Sono già davanti e parto verso la porta"
"5CraGs8mlCJlHKS9kiSf","defender","soccer","published","dribbling",1,"A forward is pressing hard, you need to get out of the duel...","Un attaquant presse fort, tu dois sortir du duel…","Un delantero te está presionando fuerte, debes salir del duelo...","Un attaccante ti sta pressando forte, devi uscire dal duello...","😩",0,1,"I lose the ball on the first contact","Je perds le ballon sur le premier contact","Pierdo el balón en el primer contacto","Perdo la palla al primo contatto","😵‍💫",2,2,"I clear it but hit the defender","Je dégage dans le mur","Despejo contra el rival","La spazzo addosso all’avversario","😅",4,3,"I get out of it with a lucky bounce","Je m’en sors avec un contre favorable","Me las arreglo con un contra favorable","Me la cavo con un rimpallo favorevole","💪",6,4,"I hold onto the ball gritting my teeth","Je garde la balle en serrant les dents","Mantengo la pelota apretando los dientes","Tengo la palla stringendo i denti","🦾",8,5,"I barely dribble past him","Je le dribble de justesse","Lo regateo por poco","Lo dribblo per un pelo","😎",10,6,"I take him on and get out cleanly","Je le fixe et je m’en sors proprement","Lo fijo y salgo limpio","Lo fisso e me la cavo pulitamente"
"5WBB431mC7YOmvhrae5O","defender","soccer","published","physicality",1,"You need to hold back a forward who's pushing you from behind...","Tu dois contenir un attaquant qui te pousse dans le dos…","Tienes que contener a un delantero que te empuja por detrás...","Devi contenere un attaccante che ti spinge da dietro...","😩",0,1,"I get moved easily","Je me fais bouger facilement","Me mueven fácilmente","Mi faccio spostare facilmente","😵‍💫",2,2,"I fall on contact","Je tombe au contact","Caigo al contacto","Cado al contatto","😅",4,3,"I hold my ground but he gets past anyway","Je résiste mais il passe quand même","Resisto pero él pasa igual","Resisto ma passa comunque","💪",6,4,"I keep him off balance","Je le tiens en déséquilibre","Lo mantengo en desequilibrio","Lo tengo in equilibrio precario","🦾",8,5,"I win the physical duel","Je gagne le duel dans le corps à corps","Gano el duelo cuerpo a cuerpo","Vinco il duello corpo a corpo","😎",10,6,"I shut him down physically without fouling","Je l’éteins physiquement sans faute","Lo apago físicamente sin falta","Lo spengo fisicamente senza fallo"
"5j4BvU20N8WYejobvuUA","goalkeeper","soccer","published","reflexes",1,"The forward shoots from close range...","L’attaquant frappe à bout portant…","El delantero dispara desde cerca...","L'attaccante tira da distanza ravvicinata...","😩",0,1,"I stay in place","Je reste sur place","Me quedo en el sitio","Rimango fermo","😵‍💫",2,2,"I react too late","Je réagis trop tard","Reacciono demasiado tarde","Reagisco troppo tardi","😅",4,3,"I raise my arm too slowly","Je lève le bras trop lentement","Levanto el brazo demasiado lento","Alzo il braccio troppo lentamente","💪",6,4,"I dive at the last moment","Je me jette au dernier moment","Me lanzo en el último momento","Mi lancio all'ultimo momento","🦾",8,5,"I just manage to deflect it with my foot","Je dévie du pied de justesse","La desvío con el pie por poco","La devio col piede per un pelo","😎",10,6,"I stop it without thinking","Je l’arrête sans réfléchir","La detengo sin pensar","La fermo senza pensarci"
"6NaWprzTx4P9CL0CnPB1","goalkeeper","soccer","published","communication",1,"An opposing player is lurking alone behind your defender...","Un joueur adverse rôde seul dans le dos de ton défenseur…","Un jugador contrario está merodeando solo detrás de tu defensor...","Un giocatore avversario si aggira da solo dietro il tuo difensore...","😩",0,1,"I say nothing, I watch","Je dis rien, je regarde","No digo nada, solo miro","Non dico niente, guardo","😵‍💫",2,2,"I warn too late","Je préviens trop tard","Aviso demasiado tarde","Avverto troppo tardi","😅",4,3,"The defender doesn't listen to me","Le défenseur ne m’écoute pas","El defensor no me escucha","Il difensore non mi ascolta","💪",6,4,"The defender hears me but doesn't react","Le défenseur m’entend mais ne réagit pas","El defensor me oye pero no reacciona","Il difensore mi sente ma non reagisce","🦾",8,5,"My defender understands but takes time to adapt","Mon défenseur comprend et met du temps à s’adapter","Mi defensor entiende y tarda en adaptarse","Il mio difensore capisce e ci mette tempo ad adattarsi","😎",10,6,"I signal it loud and clear, he takes charge","Je le signale fort et clair, il le prend en charge","Lo señalo fuerte y claro, él se encarga","Lo segnalo forte e chiaro, lui se ne occupa"
